update_seq,update_kind,instance,digest,coverage_after,pre_delivery_visible_cov,delivered_at_unix,signaling_delay_s,writer_seq,future_use_count,seq,t_send_unix,point_id,cell_id,rep,zipf_alpha,overlap,concurrency,rho,policy,send_ts_unix,coverage_before_source,source_coverage_delta,update_age_s,advertised_before,dispatcher_visible_before,best_visible_cov,second_visible_cov,visible_cov_gap,replica_visible_count,source_best_cov,digest_req_count_recent,in_flight_frames,ewma_delivery_delay_s,dispatcher_loads,dispatcher_rr,supersedes_in_flight,use_index,use_request_id,use_dispatch_time_unix,use_discard,superseded_before_use,decision_without_update,decision_with_update,decision_flip,native_instance_without,selected_instance_without,selected_instance_with,selected_load_without,selected_load_with,reusable_coverage_without,reusable_coverage_with,reusable_coverage_gain,estimated_prefill_gain_ms,estimated_queue_delta_ms,estimated_net_gain_ms,signaling_cost_ms,oracle_value_ms,oracle_value_net_of_cost_ms,realized_ttft_ms,realized_cached_tokens,world1_expected_net_ms
2,upsert,1,L0014,2048,0,1787890262.2484467,0.003833770751953125,3,1,2,1787890262.244613,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.244595,0,2048,,0,0,0,0,0,0,0,1,3,,0;0;0;1,4,0,1,57,1787890281.4902143,,1,1,1,0,,1,1,0,0,0,0,0,0.0,0.0,0.0,3.833770751953125,0.0,-3.833770751953125,593.215562,2608.0,0.0
3,upsert,3,L0023,2048,0,1787890262.2485561,0.003805875778198242,4,3,3,1787890262.2447503,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.2447348,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,1,35,1787890271.1734807,,0,3,3,0,3,3,3,0,0,0,0,0,0.0,0.0,0.0,3.805875778198242,0.0,-3.805875778198242,491.453393,2608.0,0.0
3,upsert,3,L0023,2048,0,1787890262.2485561,0.003805875778198242,4,3,3,1787890262.2447503,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.2447348,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,2,46,1787890275.8772519,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,3.805875778198242,0.0,-3.805875778198242,90.876192,2080.0,0.0
3,upsert,3,L0023,2048,0,1787890262.2485561,0.003805875778198242,4,3,3,1787890262.2447503,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890262.2447348,0,2048,,0,0,0,0,0,0,0,1,4,,0;0;0;0,4,0,3,63,1787890283.065462,,1,3,3,0,,3,3,1,1,0,0,0,0.0,0.0,0.0,3.805875778198242,0.0,-3.805875778198242,207.327052,2608.0,49.2
4,upsert,0,L0000,2048,0,1787890263.79864,0.0042150020599365234,5,2,4,1787890263.794425,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.7943964,0,2048,,0,0,0,0,0,0,0,2,1,0.003847956657409668,0;1;1;1,8,0,1,42,1787890274.3983579,,0,3,3,0,1,3,3,0,0,2560,2560,0,0.0,0.0,0.0,4.215002059936523,0.0,-4.215002059936523,93.850454,2080.0,51.2
4,upsert,0,L0000,2048,0,1787890263.79864,0.0042150020599365234,5,2,4,1787890263.794425,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.7943964,0,2048,,0,0,0,0,0,0,0,2,1,0.003847956657409668,0;1;1;1,8,0,2,60,1787890283.0653164,,0,3,3,0,2,3,3,0,0,3072,3072,0,0.0,0.0,0.0,4.215002059936523,0.0,-4.215002059936523,109.959071,2608.0,61.44
5,upsert,3,L0000,2560,0,1787890263.798761,0.0040130615234375,6,2,5,1787890263.7947478,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.794725,0,2560,,0,0,0,0,0,0,0,2,2,0.003847956657409668,0;1;1;0,8,0,1,42,1787890274.3983579,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,4.0130615234375,0.0,-4.0130615234375,93.850454,2080.0,51.2
5,upsert,3,L0000,2560,0,1787890263.798761,0.0040130615234375,6,2,5,1787890263.7947478,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.794725,0,2560,,0,0,0,0,0,0,0,2,2,0.003847956657409668,0;1;1;0,8,0,2,60,1787890283.0653164,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,4.0130615234375,0.0,-4.0130615234375,109.959071,2608.0,61.44
7,upsert,2,L0028,2048,0,1787890263.798948,0.003662109375,8,1,7,1787890263.795286,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890263.7952657,0,2048,,0,0,0,0,0,0,0,1,4,0.003847956657409668,0;0;0;0,8,0,1,55,1787890279.4666276,,0,0,2,1,0,0,2,0,1,0,2048,2048,40.96,2.0,38.96,3.662109375,38.96,35.297890625,1722.086877,2080.0,38.96
11,upsert,3,L0000,3072,2560,1787890265.4217188,0.5629632472991943,12,2,11,1787890264.8587556,base,exact_fifo@rho1.0,0,0.55,0.0,4,1.0,exact_fifo,1787890264.8587294,2560,512,1.0640044212341309,0,2560,2560,2048,512,2,0,3,4,0.0038888156414031982,0;0;0;0,12,0,1,42,1787890274.3983579,,1,3,3,0,,3,3,0,0,0,0,0,0.0,0.0,0.0,562.9632472991943,0.0,-562.9632472991943,93.850454,2080.0,51.2
